group,latin_name,species,support,mode,submode,description,tooling_or_IOU,frame_of_reference,number_relations,temporal_order,1_dynamic_relation,2_dynamic_relation,manufacture,steps_manufacture,associative,type_associative,reference,total_references,page,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanocitta cristata,Blue jay,experimental,reach,reach_access,rake in pellets with paper/other objects,tooling,allocentric,1,Paper to pellet,dynamic,,yes,1,no,,Jones & Kamil 1973,1,43,"Authors believe only one jay spontaneously innovated tool use, and that the others tested afteward learned by observation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanocitta cristata,Blue jay,anecdotal,wipe,wipe_access,wipe food bowl with wetted paper,tooling,allocentric,1,Paper to bowl,dynamic,,yes,1,no,,Jones & Kamil 1973,1,50,Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanocitta stelleri,Steller’s jay,anecdotal,jab,jab_threat,thrust at at crow with stick,tooling,allocentric,1,stick to crow,dynamic,,yes,1,no,,Balda 2007,1,43,Seen in only one animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanocorax luxuosus,Green jay,anecdotal,probe,probe_access,probe under bark with twig  for prey,tooling,allocentric,1,twig to bark,dynamic,,no,,no,,Gayou 1982,1,47,Seen in 2/14 animals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanocorax luxuosus,Green jay,anecdotal,pry,pry_remove,pry off pieces of bark with twig (to consume insects),tooling,allocentric,1,twig to bark,dynamic,,no,,no,,Gayou 1982,1,42,Seen in only one animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cyanoramphus auriceps,Yellow-crowned parakeets,experimental,reach,reach_access,rake in seeds with twig,tooling,allocentric,1,twig to seeds,dynamic,,no,,no,,Funk 2002,1,43,Performed poorly when rake not already positioned with the reward inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Daphoenositta chrysoptera,Varied sittellas,anecdotal,probe,probe_access,probe cavity with wood strip for larvae,tooling,allocentric,1,wood to cavity,dynamic,,no,,no,,Green 1972,1,47,Seen in only one animal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Eclectus roratus,Eclectus parrot,anecdotal,dig,dig_burrow,excavate sand-gravel with palm frond for burrow,tooling,allocentric,1,frond to sand,dynamic,,no,,no,,DeCourcey (pers. Comm),1,42,Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Euphagus cyanocephalus,Brewer’s blackbird,,absorb,place_absorb,dip grasshoppers to absorb water to feed nestlings,IOU,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Eurypyga helias,Sunbittern,,bait,bait_hunt,place food on water as  bait for fish,IOU,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
